#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
0.779094171	-0.36782854	0.507655826	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[4,0,5,1],X[7,2,8,1],X[2,7,3,6],X[5,4,6,3]];
0.716774224	0.139062144	0.683298202	0_1	 + 1	PD[];
0.0248978252	0.975143384	0.220171476	0_1	 + 1	PD[X[2,1,3,0],X[3,1,4,2]];
0.284216802	0.872367973	0.397737262	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[4,1,5,0],X[1,4,2,3],X[5,3,6,2]];
-0.589681431	-0.596830799	-0.544122051	0_1	 + 1	PD[];
0.428076029	0.516315067	0.741734229	0_1	 + 1	PD[];
0.348304754	-0.816494381	0.460457082	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.521244238	0.511957396	0.68279138	0_1	 + 1	PD[];
-0.349986712	-0.762145722	-0.544649613	0_1	 + 1	PD[];
-0.299750692	0.45680667	0.83754235	0_1	 + 1	PD[];
-0.554875841	0.288641413	-0.780255686	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[0,4,1,5],X[1,8,2,7],X[6,3,7,2],X[3,6,4,5]];
-0.735672205	0.295646981	0.609408951	0_1	 + 1	PD[];
0.787669512	-0.234263993	-0.569822008	0_1	 + 1	PD[];
-0.58298753	-0.769008885	-0.262203879	0_1	 + 1	PD[];
0.853577415	-0.18190818	-0.488175184	0_1	 + 1	PD[];
-0.753861383	0.350783336	0.555557438	0_1	 + 1	PD[];
0.758853298	0.643134735	0.102564053	0_1	 + 1	PD[];
-0.728262911	0.337757217	-0.596282815	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[0,4,1,5],X[1,8,2,7],X[6,3,7,2],X[3,6,4,5]];
0.680493889	-0.704608282	0.201134868	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[4,0,5,1],X[7,2,8,1],X[2,7,3,6],X[5,4,6,3]];
0.761368816	0.523685353	-0.38219259	0_1	 + 1	PD[];
-0.77836719	-0.251332932	-0.575305376	0_1	 + 1	PD[];
0.595655368	-0.0101633751	-0.803175814	0_1	 + 1	PD[];
0.922794071	-0.170210381	0.345658109	0_1	 + 1	PD[];
0.284084334	-0.773561986	0.566478547	0_1	 + 1	PD[];
-0.96562676	-0.248384334	-0.0766171142	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.949154555	-0.260171502	0.177246777	0_1	 + 1	PD[];
0.291827933	-0.931018468	0.219182733	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.871490171	0.00508225593	-0.490386636	0_1	 + 1	PD[];
-0.481225547	-0.0441648483	-0.875483546	0_1	 + 1	PD[];
-0.638392433	-0.342960006	0.689081661	0_1	 + 1	PD[];
0.934238998	-0.00645922728	0.356589082	0_1	 + 1	PD[];
0.531419766	0.790590957	0.304235058	0_1	 + 1	PD[];
-0.513097822	-0.135796474	-0.847519877	0_1	 + 1	PD[];
-0.837560264	3.35837558e-05	-0.546344949	0_1	 + 1	PD[];
0.926945961	-0.0573195681	-0.370790578	0_1	 + 1	PD[];
0.988006761	-0.0792604501	0.132515742	0_1	 + 1	PD[];
-0.86716981	-0.292991958	0.402706137	0_1	 + 1	PD[];
0.861773387	0.505296231	-0.0449705203	0_1	 + 1	PD[];
-0.732569238	-0.16858976	0.659484499	0_1	 + 1	PD[];
-0.942160277	0.331382617	-0.0501953466	0_1	 + 1	PD[];
0.996668125	-0.0412403657	0.0703695966	0_1	 + 1	PD[];
0.824376909	0.449480627	0.344049238	0_1	 + 1	PD[];
-0.677074675	-0.683572903	0.27257654	0_1	 + 1	PD[];
-0.242957465	0.952098043	0.185690565	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.359738459	-0.32784449	-0.873559518	0_1	 + 1	PD[];
-0.244454034	-0.937777976	0.246606353	0_1	 + 1	PD[];
-0.67986803	0.484287838	-0.55067663	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[0,5,1,4],X[3,2,4,1],X[5,2,6,3]];
-0.309612406	-0.722795367	0.617824421	0_1	 + 1	PD[];
-0.0321953169	0.19226182	0.980815403	0_1	 + 1	PD[];
0.762732886	0.590699486	-0.263272981	0_1	 + 1	PD[];
-0.86540383	0.501074935	0.000347170979	0_1	 + 1	PD[];
-0.914934718	-0.147191442	0.375804658	0_1	 + 1	PD[];
-0.684512252	-0.386242004	-0.618271858	0_1	 + 1	PD[];
-0.151706046	0.970022786	0.189844859	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.0841325518	0.883991784	0.459869807	0_1	 + 1	PD[X[2,1,3,0],X[3,1,4,2]];
0.00209037252	0.287575599	-0.957755661	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[0,4,1,5],X[1,8,2,7],X[6,3,7,2],X[3,6,4,5]];
-0.941416053	-0.284736158	-0.180723921	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.474501842	-0.433431909	-0.766149321	0_1	 + 1	PD[];
-0.908971958	0.0769432097	-0.409694669	0_1	 + 1	PD[];
0.174777629	-0.687776925	-0.704567727	0_1	 + 1	PD[];
-0.612772864	-0.780920316	-0.121131653	0_1	 + 1	PD[];
0.343459749	0.524382495	-0.779139525	0_1	 + 1	PD[];
-0.451904608	0.355462977	0.81818598	0_1	 + 1	PD[];
0.925880874	-0.324697817	0.193173331	0_1	 + 1	PD[];
0.930709227	0.251428897	0.265638559	0_1	 + 1	PD[];
-0.561880061	-0.728276916	0.392305405	0_1	 + 1	PD[];
-0.103077058	0.656361268	0.747372067	0_1	 + 1	PD[];
0.280350413	-0.903698926	-0.323623078	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.647650396	-0.520193733	0.556729238	0_1	 + 1	PD[];
0.593983914	-0.221470856	0.773391084	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[4,0,5,1],X[7,2,8,1],X[2,7,3,6],X[5,4,6,3]];
0.406798022	-0.910828584	0.0700475527	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.51601565	-0.196772141	-0.833671742	0_1	 + 1	PD[];
0.483317139	0.872923959	-0.0663950676	0_1	 + 1	PD[];
-0.0496477795	-0.357778863	-0.932485594	0_1	 + 1	PD[];
0.675142277	0.300571934	0.673676049	0_1	 + 1	PD[];
0.792441168	0.280214872	-0.541771742	0_1	 + 1	PD[];
0.710855586	0.578839076	-0.399536808	0_1	 + 1	PD[];
-0.572804269	-0.575987092	-0.583210201	0_1	 + 1	PD[];
-0.559789197	0.101751437	0.822364092	0_1	 + 1	PD[];
-0.816738182	-0.360881347	-0.450225938	0_1	 + 1	PD[];
0.489577229	0.59067726	-0.64141602	0_1	 + 1	PD[];
0.196114599	0.892790114	-0.405542694	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.779691035	0.155053374	0.606663284	0_1	 + 1	PD[];
-0.952250345	-0.283593397	-0.113110853	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.719049366	-0.00477460905	0.694942597	0_1	 + 1	PD[];
0.955186575	0.270480766	-0.120244598	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.824933854	0.0767845571	-0.559989525	0_1	 + 1	PD[];
-0.80681901	0.337893675	-0.484634861	0_1	 + 1	PD[];
0.157691381	-0.782853641	-0.601891689	0_1	 + 1	PD[];
0.64425678	0.753136765	0.133109785	0_1	 + 1	PD[];
-0.277246061	-0.479707144	-0.832475632	0_1	 + 1	PD[];
0.95615872	-0.158784185	-0.246065203	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.996185457	-0.0768917242	-0.0412577111	0_1	 + 1	PD[];
-0.425428624	-0.718049644	0.550831366	0_1	 + 1	PD[];
0.00742160258	-0.569873965	0.821698597	0_1	 + 1	PD[];
-0.537506464	0.24333869	-0.807386576	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[0,4,1,5],X[1,8,2,7],X[6,3,7,2],X[3,6,4,5]];
0.385362058	-0.29516997	-0.874283005	0_1	 + 1	PD[];
-0.388447614	0.313479107	-0.866509839	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[0,4,1,5],X[1,8,2,7],X[6,3,7,2],X[3,6,4,5]];
-0.781637225	0.50611597	0.364540634	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.217740728	-0.642951291	0.734304169	0_1	 + 1	PD[];
0.180834334	-0.978437459	0.0997952051	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.31679847	-0.938043724	0.140401925	0_1	 + 1	PD[];
0.0485517583	-0.934153108	-0.353554378	0_1	 + 1	PD[];
-0.584694443	-0.273314542	0.763826924	0_1	 + 1	PD[];
-0.0427843434	-0.8368408	0.545771908	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
0.544306837	0.283886687	-0.789391168	0_1	 + 1	PD[];
0.172027808	0.550039598	0.817228777	0_1	 + 1	PD[];
0.973996108	0.224829608	-0.0279862192	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.559512458	-0.828139888	0.0336174956	0_1	 + 1	PD[];
-0.460925779	-0.537754539	-0.705951473	0_1	 + 1	PD[];
0.940239593	-0.0346078278	0.338750359	0_1	 + 1	PD[];
-0.349555271	-0.62760977	0.695641494	0_1	 + 1	PD[];
-0.623128062	-0.600655348	0.500923718	0_1	 + 1	PD[];
-0.771302479	-0.261002738	-0.580491221	0_1	 + 1	PD[];
-0.0775313	-0.826815007	-0.557104875	0_1	 + 1	PD[X[0,3,1,2],X[1,3,2,4]];
0.336392502	-0.9193413	-0.204087383	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.603493525	-0.613834042	-0.508923702	0_1	 + 1	PD[];
0.0744026115	-0.0799567715	-0.994017689	0_1	 + 1	PD[];
0.734319552	0.640672751	-0.224306088	0_1	 + 1	PD[];
-0.954446679	0.150840293	-0.257446584	0_1	 + 1	PD[];
0.908709601	0.351307005	-0.225455647	0_1	 + 1	PD[];
-0.989001783	-0.147888655	-0.00210233964	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.82774542	0.118592201	-0.548428127	0_1	 + 1	PD[];
-0.400270172	0.392097853	0.828277166	0_1	 + 1	PD[];
0.198434386	-0.977832594	-0.0668372065	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.16417711	0.952379247	0.256942885	0_1	 + 1	PD[];
0.103316203	0.989771272	-0.0983798318	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.661284578	-0.713020704	-0.233032579	0_1	 + 1	PD[];
-0.339687347	0.52758009	-0.778634545	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[0,4,1,5],X[1,8,2,7],X[6,3,7,2],X[3,6,4,5]];
-0.419901682	-0.389316031	-0.81982657	0_1	 + 1	PD[];
0.0265031039	0.429910597	-0.90248239	0_1	 + 1	PD[];
0.721530082	-0.166974514	0.671947805	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[4,0,5,1],X[7,2,8,1],X[2,7,3,6],X[5,4,6,3]];
0.930478099	-0.187130504	-0.314948698	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.370375325	0.794723212	0.480871224	0_1	 + 1	PD[];
-0.612279175	0.0852654968	-0.786030538	0_1	 + 1	PD[];
0.732369094	-0.627831042	-0.263559656	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.94830221	-0.154710841	-0.277105529	0_1	 + 1	PD[];
-0.60821947	0.278807309	0.743192815	0_1	 + 1	PD[];
0.900055955	0.0785866011	-0.428629704	0_1	 + 1	PD[];
-0.830571295	-0.414142832	0.372339951	0_1	 + 1	PD[];
0.516113214	0.395028391	0.759986659	0_1	 + 1	PD[];
-0.302545852	-0.731577142	0.610950811	0_1	 + 1	PD[];
-0.890581483	0.19332469	-0.411691859	0_1	 + 1	PD[];
-0.252583573	-0.790147182	-0.558452298	0_1	 + 1	PD[];
-0.399526032	-0.898216442	0.183265308	0_1	 + 1	PD[];
0.205215975	0.911587485	0.356222769	0_1	 + 1	PD[];
0.884222973	0.205505862	-0.419424695	0_1	 + 1	PD[];
-0.362197567	0.4178201	-0.833210229	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[0,4,1,5],X[1,8,2,7],X[6,3,7,2],X[3,6,4,5]];
-0.680945741	-0.480260932	0.552867376	0_1	 + 1	PD[];
-0.360896679	-0.789261023	-0.496810453	0_1	 + 1	PD[];
0.929269617	-0.297401191	0.219113006	0_1	 + 1	PD[];
0.355968719	0.92929282	0.0984942969	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
